sample,total_count,population,count,percentage
sample00000,93214,b_cell,10908,11.7
sample00000,93214,cd4_t_cell,20491,21.98
sample00000,93214,cd8_t_cell,24440,26.22
sample00000,93214,monocyte,23511,25.22
sample00000,93214,nk_cell,13864,14.87
sample00001,100824,b_cell,6777,6.72
sample00001,100824,cd4_t_cell,33459,33.19
sample00001,100824,cd8_t_cell,19407,19.25
sample00001,100824,monocyte,23011,22.82
sample00001,100824,nk_cell,18170,18.02
sample00002,92822,b_cell,9794,10.55
sample00002,92822,cd4_t_cell,24274,26.15
sample00002,92822,cd8_t_cell,22940,24.71
sample00002,92822,monocyte,18332,19.75
sample00002,92822,nk_cell,17482,18.83
sample00003,93160,b_cell,10081,10.82
sample00003,93160,cd4_t_cell,36157,38.81
sample00003,93160,cd8_t_cell,20271,21.76
sample00003,93160,monocyte,12610,13.54
sample00003,93160,nk_cell,14041,15.07
sample00004,107903,b_cell,4372,4.05
sample00004,107903,cd4_t_cell,38293,35.49
sample00004,107903,cd8_t_cell,33778,31.3
sample00004,107903,monocyte,14933,13.84
sample00004,107903,nk_cell,16527,15.32
sample00005,105359,b_cell,15431,14.65
sample00005,105359,cd4_t_cell,30805,29.24
sample00005,105359,cd8_t_cell,31940,30.32
sample00005,105359,monocyte,15779,14.98
sample00005,105359,nk_cell,11404,10.82
sample00006,99774,b_cell,5897,5.91
sample00006,99774,cd4_t_cell,28319,28.38
sample00006,99774,cd8_t_cell,31296,31.37
sample00006,99774,monocyte,21606,21.65
sample00006,99774,nk_cell,12656,12.68
sample00007,98424,b_cell,10403,10.57
sample00007,98424,cd4_t_cell,33870,34.41
sample00007,98424,cd8_t_cell,13504,13.72
sample00007,98424,monocyte,18031,18.32
sample00007,98424,nk_cell,22616,22.98
sample00008,90353,b_cell,8829,9.77
sample00008,90353,cd4_t_cell,21307,23.58
sample00008,90353,cd8_t_cell,26215,29.01
sample00008,90353,monocyte,16378,18.13
sample00008,90353,nk_cell,17624,19.51
sample00009,95821,b_cell,7650,7.98
sample00009,95821,cd4_t_cell,21097,22.02
sample00009,95821,cd8_t_cell,33334,34.79
sample00009,95821,monocyte,15676,16.36
sample00009,95821,nk_cell,18064,18.85
sample00010,107537,b_cell,13203,12.28
sample00010,107537,cd4_t_cell,27873,25.92
sample00010,107537,cd8_t_cell,21339,19.84
sample00010,107537,monocyte,31913,29.68
sample00010,107537,nk_cell,13209,12.28
sample00011,89815,b_cell,10621,11.83
sample00011,89815,cd4_t_cell,29391,32.72
sample00011,89815,cd8_t_cell,19786,22.03
sample00011,89815,monocyte,16497,18.37
sample00011,89815,nk_cell,13520,15.05
sample00012,109579,b_cell,14128,12.89
sample00012,109579,cd4_t_cell,40320,36.8
sample00012,109579,cd8_t_cell,21720,19.82
sample00012,109579,monocyte,18802,17.16
sample00012,109579,nk_cell,14609,13.33
sample00013,109488,b_cell,10681,9.76
sample00013,109488,cd4_t_cell,31697,28.95
sample00013,109488,cd8_t_cell,19994,18.26
sample00013,109488,monocyte,22073,20.16
sample00013,109488,nk_cell,25043,22.87
sample00014,92904,b_cell,6113,6.58
sample00014,92904,cd4_t_cell,27223,29.3
sample00014,92904,cd8_t_cell,25851,27.83
sample00014,92904,monocyte,24463,26.33
sample00014,92904,nk_cell,9254,9.96
sample00015,102691,b_cell,8261,8.04
sample00015,102691,cd4_t_cell,36217,35.27
sample00015,102691,cd8_t_cell,21523,20.96
sample00015,102691,monocyte,20937,20.39
sample00015,102691,nk_cell,15753,15.34
sample00016,95824,b_cell,7433,7.76
sample00016,95824,cd4_t_cell,33881,35.36
sample00016,95824,cd8_t_cell,22881,23.88
sample00016,95824,monocyte,22197,23.16
sample00016,95824,nk_cell,9432,9.84
sample00017,98639,b_cell,3226,3.27
sample00017,98639,cd4_t_cell,36405,36.91
sample00017,98639,cd8_t_cell,20404,20.69
sample00017,98639,monocyte,17865,18.11
sample00017,98639,nk_cell,20739,21.03
sample00018,101123,b_cell,3578,3.54
sample00018,101123,cd4_t_cell,32675,32.31
sample00018,101123,cd8_t_cell,29520,29.19
sample00018,101123,monocyte,19813,19.59
sample00018,101123,nk_cell,15537,15.36
sample00019,97405,b_cell,8022,8.24
sample00019,97405,cd4_t_cell,30759,31.58
sample00019,97405,cd8_t_cell,27175,27.9
sample00019,97405,monocyte,20466,21.01
sample00019,97405,nk_cell,10983,11.28
sample00020,97228,b_cell,6382,6.56
sample00020,97228,cd4_t_cell,32731,33.66
sample00020,97228,cd8_t_cell,17469,17.97
sample00020,97228,monocyte,22590,23.23
sample00020,97228,nk_cell,18056,18.57
sample00021,100750,b_cell,10337,10.26
